15,4901,Muana,2584,1
15,4950,Nova Esperanca do Piria,2535,1
15,4976,Nova Ipixuna,2509,1
15,5007,Nova Timboteua,2478,1
15,5031,Novo Progresso,2454,1
15,5064,Novo Repartimento,2421,1
15,5106,obidos,2379,1
15,5205,Oeiras do Para,2280,1
15,5304,Oriximina,2181,1
15,5403,Ourem,2082,1
15,5437,Ourilandia do Norte,2048,1
15,5486,Pacaja,1999,1
15,5494,Palestina do Para,1991,1
15,5502,Paragominas,1983,1
15,5536,Parauapebas,1949,1
15,5551,Pau DArco,1934,1
15,5601,Peixe-Boi,1884,1
15,5635,Picarra,1850,1
15,5650,Placas,1835,1
15,5700,Ponta de Pedras,1785,1
15,5809,Portel,1676,1
15,5908,Porto de Moz,1577,1
15,6005,Prainha,1480,1
15,6104,Primavera,1381,1
15,6112,Quatipuru,1373,1
15,6138,Redencao,1347,1
15,6161,Rio Maria,1324,1
15,6187,Rondon do Para,1298,1
15,6195,Ruropolis,1290,1
15,6203,Salinopolis,1282,1
15,6302,Salvaterra,1183,1
15,6351,Santa Barbara do Para,1134,1
15,6401,Santa Cruz do Arari,1084,1
15,6500,Santa Izabel do Para,985,1
15,6559,Santa Luzia do Para,926,1
15,6583,Santa Maria das Barreiras,902,1
15,6609,Santa Maria do Para,876,1
15,6708,Santana do Araguaia,777,1
15,6807,Santarem,678,1
15,6906,Santarem Novo,579,1
15,7003,Santo Antonio do Taua,482,1
15,7102,Sao Caetano de Odivelas,383,1
15,7151,Sao Domingos do Araguaia,334,1
15,7201,Sao Domingos do Capim,284,1
15,7300,Sao Felix do Xingu,185,1
15,7409,Sao Francisco do Para,76,1
15,7458,Sao Geraldo do Araguaia,27,1
15,7466,Sao Joao da Ponta,19,1
15,7474,Sao Joao de Pirabas,11,1
15,7508,Sao Joao do Araguaia,7462,1
15,7607,Sao Miguel do Guama,7363,1
15,7706,Sao Sebastiao da Boa Vista,7264,1
15,7755,Sapucaia,7215,1
15,7805,Senador Jose Porfirio,7165,1
15,7904,Soure,7066,1
15,7953,Tailandia,7017,1
15,7961,Terra Alta,7009,1
15,7979,Terra Santa,6991,1
15,8001,Tome-Acu,6969,1
15,8035,Tracuateua,6935,1
15,8050,Trairao,6920,1
15,8084,Tucuma,6886,1
15,8100,Tucurui,6870,1
15,8126,Ulianopolis,6844,1
15,8159,Uruara,6811,1
15,8209,Vigia,6761,1
15,8308,Viseu,6662,1
15,8357,Vitoria do Xingu,6613,1
15,8407,Xinguara,6563,1
16,55,Serra do Navio,7429,1
16,105,Amapa,7379,1
16,154,Pedra Branca do Amapari,7330,1
16,204,Calcoene,7280,1
16,212,Cutias,7272,1
16,238,Ferreira Gomes,7246,1
16,253,Itaubal,7231,1
16,279,Laranjal do Jari,7205,1
16,303,Macapa,7181,1
16,402,Mazagao,7082,1
16,501,Oiapoque,6983,1
16,535,Porto Grande,6949,1
16,550,Pracuuba,6934,1
16,600,Santana,6884,1
16,709,Tartarugalzinho,6775,1
16,808,Vitoria do Jari,6676,1
17,251,Abreulandia,7232,1
17,301,Aguiarnopolis,7182,1
17,350,Alianca do Tocantins,7133,1
17,400,Almas,7083,1
17,707,Alvorada,6776,1
17,1002,Ananas,6481,1
17,1051,Angico,6432,1
17,1101,Aparecida do Rio Negro,6382,1
17,1309,Aragominas,6174,1
17,1903,Araguacema,5580,1
17,2000,Araguacu,5483,1
17,2109,Araguaina,5374,1
17,2158,Araguana,5325,1
17,2208,Araguatins,5275,1
17,2307,Arapoema,5176,1
17,2406,Arraias,5077,1
17,2554,Augustinopolis,4929,1
17,2703,Aurora do Tocantins,4780,1
17,2901,Axixa do Tocantins,4582,1
17,3008,Babaculandia,4475,1
17,3057,Bandeirantes do Tocantins,4426,1
17,3073,Barra do Ouro,4410,1
17,3107,Barrolandia,4376,1
17,3206,Bernardo Sayao,4277,1
17,3305,Bom Jesus do Tocantins,4178,1
17,3602,Brasilandia do Tocantins,3881,1
17,3701,Brejinho de Nazare,3782,1
17,3800,Buriti do Tocantins,3683,1
17,3826,Cachoeirinha,3657,1
17,3842,Campos Lindos,3641,1
17,3867,Cariri do Tocantins,3616,1
17,3883,Carmolandia,3600,1
17,3891,Carrasco Bonito,3592,1
17,3909,Caseara,3574,1
17,4105,Centenario,3378,1
17,4600,Chapada de Areia,2883,1
17,5102,Chapada da Natividade,2381,1
17,5508,Colinas do Tocantins,1975,1
17,5557,Combinado,1926,1
17,5607,Conceicao do Tocantins,1876,1
17,6001,Couto Magalhaes,1482,1
17,6100,Cristalandia,1383,1
17,6258,Crixas do Tocantins,1225,1
17,6506,Darcinopolis,977,1
17,7009,Dianopolis,474,1
17,7108,Divinopolis do Tocantins,375,1
17,7207,Dois Irmaos do Tocantins,276,1
17,7306,Duere,177,1
17,7405,Esperantina,78,1
17,7553,Fatima,7413,1
17,7652,Figueiropolis,7314,1
17,7702,Filadelfia,7264,2
17,8205,Formoso do Araguaia,6761,2
17,8254,Tabocao,6712,1
17,8304,Goianorte,6662,2
17,9005,Goiatins,5961,1
17,9302,Guarai,5664,1
17,9500,Gurupi,5466,1
17,9807,Ipueiras,5159,1
17,10508,Itacaja,4458,1
17,10706,Itaguatins,4260,1
17,10904,Itapiratins,4062,1
17,11100,Itapora do Tocantins,3866,1
17,11506,Jau do Tocantins,3460,1
17,11803,Juarina,3163,1
17,11902,Lagoa da Confusao,3064,1
17,11951,Lagoa do Tocantins,3015,1
17,12009,Lajeado,2957,1
17,12157,Lavandeira,2809,1
17,12405,Lizarda,2561,1
17,12454,Luzinopolis,2512,1
17,12504,Marianopolis do Tocantins,2462,1
17,12702,Mateiros,2264,1
17,12801,Maurilandia do Tocantins,2165,1
17,13205,Miracema do Tocantins,1761,1
17,13304,Miranorte,1662,1
17,13601,Monte do Carmo,1365,1
17,13700,Monte Santo do Tocantins,1266,1
17,13809,Palmeiras do Tocantins,1157,1
17,13957,Muricilandia,1009,1
17,14203,Natividade,763,1
17,14302,Nazare,664,1
17,14880,Nova Olinda,86,1
17,15002,Nova Rosalandia,7447,1
17,15101,Novo Acordo,7348,1
17,15150,Novo Alegre,7299,1
17,15259,Novo Jardim,7190,1
17,15507,Oliveira de Fatima,6942,1
17,15705,Palmeirante,6744,1
17,15754,Palmeiropolis,6695,1
